Attribute,unique artifact,Specific Location,state,Identifier1,Identifier2,Identifier3,Identifier4,Old Identifier,Influence Locations,Image Link1,Image Link2,,,"{Identifier} famous throughout India, originated in {specific location}",,,,,,,,,,,Attribute,state,
Cuisine,Mysore Pak,Mysore,Karnataka,A type of mithai prepared with only three ingredients: ghee,"sugar, besan",,,,,https://en.m.wikipedia.org/wiki/Mysore_pak,,,,,,,,,,,,,,,,,
Costume,Ilkal saree,Bagalkot,Karnataka,A traditional form of sari woven using cotton warp on the body,pallu portion of the sari. In some cases instead of art silk,pure silk is also used,The uniqueness of sari is joining of the body warp with pallu warp with a series of loops locally called as TOPE TENI technique,"A traditional form of sari woven using cotton warp on the body and art silk warp for border and pallu portion of the sari. In some cases instead of art silk, pure silk is also used.The uniqueness of sari is joining of the body warp with pallu warp with a series of loops locally called as TOPE TENI technique.
  The weaver will gait only 6 yards, 8 yards, 9 yards warp due to above TOPE TENI technique. KONDI Technique is used for weft through inserting 3 shuttles",,https://en.m.wikipedia.org/wiki/Ilkal_sari,,,,,,,,,,,,,,,,,
Language,"Kodava language,",Kodagu,Karnataka,A language that has similarity in accent,outside the district including Amma Kodavas,"Kodava Heggade, Iri, Koyava, Banna, Madivala, Hajama, Kembatti, and Meda.",25% of the total population of the state,"A language that has similarity in accent and pronunciation with that of Beary bashe, a dialect spoken by Bearys. As per 1991 census, the speakers of this lmake up to 0.25% of the total population of the state. According to Karnataka Kodava Sahitya Academy, apart from Kodavas, 18 other ethnic groups speak Kodava Takk in and outside the district including Amma Kodavas, Kodava Heggade, Iri, Koyava, Banna, Madivala, Hajama, Kembatti, and Meda.",,"https://en.m.wikipedia.org/wiki/Kodava_people#:~:text=The%20Kodavas%20(Codavas%20or%20Kodagas,%2C%20arrows%2C%20and%20later%20guns",,,,,,,,,,,,,,,,,
Art,Channapatna toy-making town,Ramanagara,Karnataka,A particular form of wooden toys,dolls that are manufactured in the town of Channapatna,,,A particular form of wooden toys and dolls that are manufactured in the town of Channapatna,,https://en.m.wikipedia.org/wiki/Channapatna_toys,,,,,,,,,,,,,,,,,
Festival,Bangalore Karaga,Bangalore,Karnataka,An annual festival celebrated in the Thigalarpet,Dharmaraya (Yudhishthira).,"Based on story of their heritage, they built temples for Draupadi",,"An annual festival celebrated in the Thigalarpet, primarily by the Vahnikula Kshatriya which belongs to Chalukya dynasty community. Based on story of their heritage, they built temples for Draupadi and Dharmaraya (Yudhishthira).",,https://en.wikipedia.org/wiki/Bangalore_Karaga,,,,,,,,,,,,,,,,,
Festival,Basava Jayanthi festival,"Mysuru, Basavana Bagewadi, and Basavakalyana",Karnataka,A festival celebrated by Lingayats this marks the birth anniversary of philosopher,poet Basaveshwara,,,A festival celebrated by Lingayats this marks the birth anniversary of philosopher and poet Basaveshwara.,,https://en.m.wikipedia.org/wiki/Basava_Jayanti,https://karnatakatourism.org/basava-jayanthi/,,,,,,,,,,,,,,,,
Dance_and_Music,Dollu Kunitha drum dance,Kuruba Gowda community in Shimoga district,Karnataka,A popular folk dance associated with the worship of Sree Beeralingeshwara who is considered as a form of Lord Shiva,,,,"A popular folk dance associated with the worship of Sree Beeralingeshwara who is considered as a form of Lord Shiva,",,https://en.m.wikipedia.org/wiki/Dollu_Kunitha,,,,,,,,,,,,,,,,,
Festival,Kaveri Sankramana festival,"Talakaveri, Kodagu district",Karnataka,A festival celebrated during mid October (first day of Tula month as per Hindu calendar) marked with special pooja at temples,at homes of Kodava people,,,A festival celebrated during mid October (first day of Tula month as per Hindu calendar) marked with special pooja at temples and at homes of Kodava people,,https://karnatakatourism.org/destinations/kaveri-sankaramana/,"https://www.incredibleindia.gov.in/en/festivals-and-events/kaveri-sankramana#:~:text=A%20sacred%20journey%20to%20the,Kodagu%20district%20of%20Karnataka%2C%20India",,,,,,,,,,,,,,,,
Festival,Pattadakal Festival,"Pattadakal, Bagalkot district",Karnataka,A festival held every year in January to commemorate the historic temples it promotes diverse traditional Indian dance,the arts,artisans assemble and display their best work,The event is conducted by Karnataka Tourism with the goal of bringing together local artists,"A festival held every year in January to commemorate the historic temples it promotes diverse traditional Indian dance and music genres in order to preserve the country's cultural legacy. The performances take place with the temples as the backdrop, creating a breathtaking vista for the audience.This event serves as a poignant reminder of the ancient bond between people and the arts. The event is a pleasure not only for dance enthusiasts but also for artisans and craftspeople. At the festival, artisans assemble and display their best work. The event is conducted by Karnataka Tourism with the goal of bringing together local artists and celebrating their creativity on a global scale.",,https://utsav.gov.in/view-event/pattadakal-dance-festival,,,,,,,,,,,,,,,,,
Rituals_and_Ceremonies,Kangilu possession ritual,"Tulu Nadu, encompassing Dakshina Kannada and Udupi districts",Karnataka,A spiritual dance performed on the full moon day in Mai month of Tulu calendar,for the general well-being of the people and cattle,protection from diseases and for a bountiful harvest,"As per beliefs, Koragajja","A spiritual dance performed on the full moon day in Mai month of Tulu calendar, corresponding to March in the Gregorian calendar. this dance is generally performed by the mundaala community living , conducted as a part of a seven day Kangilu Kunitha, to propitiate the goddess Khadgeshwari. The dance ritual is conducted to send the evil forces out of the village and for the general well-being of the people and cattle, protection from diseases and for a bountiful harvest. As per beliefs, Koragajja, a form of god Shiva is invoked through this spiritual dance to end diseases.",,"https://en.m.wikipedia.org/wiki/Kangilu#:~:text=Article,a%20form%20of%20god%20Shiva",,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Bhoota Aradhane (Spirit Worship),"Tulu Nadu, encompassing Dakshina Kannada and Udupi districts",Karnataka,A religio-cultural ritual prevalent among the Tulu speaking people,a mask,metal object or finely sculpted wooden or metal idols,The bhootas can be also manifestations of animals like the five- faced Nandigona,"A religio-cultural ritual prevalent among the Tulu speaking people,the bhootas are considered to be benevolent Gods or guardian spirits by people. A small pedestal is set for these spirit gods inside houses .In public places shrines are dedicated to these gods which are known as bhoota staanas . The bhoota may be represented by a stone , a mask ,metal object or finely sculpted wooden or metal idols. The bhootas can be also manifestations of animals like the five- faced Nandigona, the bull spirit or the mother goddess - like Ullalthi",,"https://indianculture.gov.in/intangible-cultural-heritage/social-practices-rituals-and-festive-events/bhoota-aradhana#:~:text=Bhoota%20aradhana%20or%20spirit%20worship,guardian%20spirits%20by%20the%20people.",,,,,,,,,,,,,,,,,
Festival,Sri Kudala Sangameshwara Jatra,"Kudalasangama, Bagalkot district",Karnataka,An event held annually in the month of March-April with a grand ceremony,Sri Sangameshwara temple are gaily decorated,flowers are showered through a helicopter,Many cultural,"An event held annually in the month of March-April with a grand ceremony. The Jatra or fair is organized by people from nearby villages since ancient times. The Jatra has been growing steadily every year and the number of visitors to the event has crossed 1 Lakh people. Kudala Sangama Development Board (KSDB) conducts many events to celebrate this Grand Jatra Mahotsav. A Rathotsava is held during the fair. During the Rathotsava, the chariot and Sri Sangameshwara temple are gaily decorated and flowers are showered through a helicopter. Many cultural and religious programmes are also held during the course of the celebration.",,https://utsav.gov.in/view-event/sri-kudala-sangameshwara-jatra-1,,,,,,,,,,,,,,,,,
Dance_and_Music,Goravara Kunitha dance,Mylara Lingeshwara,Karnataka,An ancient art form practiced by those following the unique Shiva Cult,carried across generations by the male artistes from Kuruba community,to take practices for performing the art.,,"An ancient art form practiced by those following the unique Shiva Cult ,performed with lot of religious implications, carried across generations by the male artistes from Kuruba community. The selected team of men from Kuruba community are given Deeksha by their Guru, to take practices for performing the art.",,https://janapada.karnataka.gov.in/new-page/GORAVARA%20KUNITHA/en,,,,,,,,,,,,,,,,,
Dance_and_Music,Bayalata folk theatre,"Coastal Karnataka, especially in Dakshina Kannada and Udupi districts",Karnataka,"A generic term for all open air theatre form, including form of Yakshagana","drama. ,it means open theater drama and marks the end of harvest season",,,"A generic term for all open air theatre form, including form of Yakshagana . It features stories from Indian epic poetry and the Puranas rendered as dance and drama. ,it means open theater drama and marks the end of harvest season",,https://en.m.wikipedia.org/wiki/Bayalaata,,,,,,,,,,,,,,,,,
Dance_and_Music,Yakshagana narrative dance,"Coastal Karnataka, notably in Dakshina Kannada and Udupi districts",Karnataka,"A performance usually depicts a story from the ""Kavya"" (epic poems)","the ""Puranas"" (ancient Hindu texts)",portraying elements of the story as it is being narrated.,,"A performance usually depicts a story from the ""Kavya"" (epic poems) and the ""Puranas"" (ancient Hindu texts). It consists of a story teller (the bhagawatha) who narrates the story by singing (which includes prepared character dialogues) as the actors dance to the music, portraying elements of the story as it is being narrated.",,"https://en.m.wikipedia.org/wiki/Yakshagana#:~:text=It%20consists%20of%20a%20story,and%20the%20dialogue%E2%80%94are%20improvised",,,,,,,,,,,,,,,,,
Cuisine,Maddur Vada specialty,Maddur in Mandya district,Karnataka,"A savoury fritter-type snack made of rice flour, semolina",curry leaves are fried and then mixed with water to make a soft dough,which is made into patties and deep fried,The onion,"A savoury fritter-type snack made of rice flour, semolina and maida flour mixed with onion, curry leaves, green chillies, grated coconut, cashews / groundnuts, ghee, salt, and asafoetida. The onion and curry leaves are fried and then mixed with water to make a soft dough, which is made into patties and deep fried",,"https://en.m.wikipedia.org/wiki/Maddur_vada#:~:text=Maddur%20vada%20is%20made%20of,into%20patties%20and%20deep%20fried",,,,,,,,,,,,,,,,,
Cuisine,Ragi Mudde staple food,"Mandya, Mysuru, and Tumakuru districts",Karnataka,A finger millet swallow dish that has only two ingredients: ragi (finger millet) flour,reaches the brim of the vessel,"ragi flour is added, which forms a mound on top of boiling water",Once the ragi flour is added,"A finger millet swallow dish that has only two ingredients: ragi (finger millet) flour, and water. A tablespoon of ragi flour is first mixed with water to make a very thin paste and later added to a thick-bottomed vessel containing water on a stove top. As this mixture boils and reaches the brim of the vessel, ragi flour is added, which forms a mound on top of boiling water. Once the ragi flour is added, it requires immediate mixing (to avoid lumps) with the help of a wooden stick the flour is beaten to a smooth dough-like consistency with no lumps. Then it is allowed to cook on medium-high flame. This hot dough is then rested on low heat before being rounded on a wooden board into tennis-ball-sized balls with wet hands. Thus prepared ragi balls are broken down into smaller balls using fingers and dipped into saaru chutney or gojju.",,https://en.m.wikipedia.org/wiki/Ragi_mudde,,,,,,,,,,,,,,,,,
History,Chalukyas of Badami,Badami in Bagalkot district,Karnataka,Pulakeshin I and his descendants are referred as this.,They ruled over an empire that comprised the entire state of Karnataka most of Andhra Pradesh in the Deccan,,,Pulakeshin I and his descendants are referred as this. They ruled over an empire that comprised the entire state of Karnataka and most of Andhra Pradesh in the Deccan.,,"https://en.m.wikipedia.org/wiki/Chalukya_dynasty#:~:text=Pulakeshin%20I%20and%20his%20descendants,Andhra%20Pradesh%20in%20the%20Deccan",,,,,,,,,,,,,,,,,
Tourism,Kudalasangama temple,Krishna and Malaprabha rivers in Bagalkot district,Karnataka,An important centre of pilgrimage for Lingayats,the Aikya Mantapa or the holy SamÃƒâ€žÃ‚Âdhi of Basavanna,the founder of the Lingayatism along with Linga,"which is believed to be self-born (Swayambhu), is here","An important centre of pilgrimage for Lingayats. located about 15 kilometres (9.3 mi) from the Almatti Dam ,the Aikya Mantapa or the holy SamÃƒâ€žÃ‚Âdhi of Basavanna, the founder of the Lingayatism along with Linga, which is believed to be self-born (Swayambhu), is here",,https://en.m.wikipedia.org/wiki/Kudalasangama,,,,,,,,,,,,,,,,,
Transport,Bangalore Metro (Namma Metro),Bengaluru in Karnataka,Karnataka,A rapid transit system with an operational length of 76. 95 kilometres (47,one at-grade station. The system runs on standard-gauge tracks,Out of the 68 operational metro stations of this as of November 2024,"there are 59 elevated stations, eight underground stations","A rapid transit system with an operational length of 76.95 kilometres (47.81 mi) that has a mix of underground, at grade, and elevated stations. Out of the 68 operational metro stations of this as of November 2024, there are 59 elevated stations, eight underground stations and one at-grade station. The system runs on standard-gauge tracks",,https://en.m.wikipedia.org/wiki/Namma_Metro,,,,,,,,,,,,,,,,,
Tourism,M. Chinnaswamy Stadium,Bengaluru,Karnataka,"A cricket stadium flanked by the picturesque Cubbon Park, Queen's Road, Cubbon and uptown MG Road","this five-decade-old stadium is situated in the heart of the city . It regularly hosts Test, ODI, T20I and first-class cricket matches, as well as musical, cultural events. ","The stadium is the home ground of the Karnataka men's, Karnataka women's as well as franchises ,RCB men's and RCB women's teams.",,"A cricket stadium flanked by the picturesque Cubbon Park, Queen's Road, Cubbon and uptown MG Road, this five-decade-old stadium is situated in the heart of the city . It regularly hosts Test, ODI, T20I and first-class cricket matches, as well as musical, cultural events. The stadium is the home ground of the Karnataka men's, Karnataka women's as well as franchises RCB men's and RCB women's teams.",,https://en.m.wikipedia.org/wiki/M._Chinnaswamy_Stadium,,,,,,,,,,,,,,,,,
Personalities,Pandit Bhimsen Joshi birthplace,Dharwad,Karnataka,One of the greatest  vocalists in the Hindustani classical tradition  known for the khayal form of singing,as well as for his popular renditions of devotional music (bhajans and abhangs). who belongs to the Kirana gharana tradition of Hindustani Classical Music. ,"who  was the first musician , whose concerts were advertised through posters in New York City, ","he was instrumental in organising the Sawai Gandharva Music Festival annually, as homage to his guru, Sawai Gandharva.","One of the greatest  vocalists in the Hindustani classical tradition  known for the khayal form of singing, as well as for his popular renditions of devotional music (bhajans and abhangs). who belongs to the Kirana gharana tradition of Hindustani Classical Music. who  was the first musician , whose concerts were advertised through posters in New York City, he was instrumental in organising the Sawai Gandharva Music Festival annually, as homage to his guru, Sawai Gandharva.",,https://en.m.wikipedia.org/wiki/Bhimsen_Joshi,,,,,,,,,,,,,,,,,
